State;Emergency Declaration;Date of SOE;Stay at home;Date of Stay at home;Local stay at home;date of first local stay at home;counties of local stay at home;Major Disaster Dec;National Guard Activation;State Employee Travel Restrictions;Statewide Limits on Gatherings;Statewide School Closures;Date School Closure;State Child Care Closures;Statewide Closure of Non‐ Essential Businesses;Date first business closure;Statewide Curfew;1135 Waiver Status;Extension of Individual Income Tax Deadlines;Primary Election
Alabama (AL);Yes;March 13;Yes;April 5;;;;;Yes;;Yes‐ 25 or more;Yes;;;"Limited operations required ‐
restaurants, bars, breweries";;Local;;"Yes‐ filing and
payment";Already held
Alaska (AK);Yes;March 11;Yes;March 29;;;;;;Yes;;Yes;;;"Limited operations required ‐ restaurants, bars, breweries,
food trucks, self‐service dining";March 29;;;;Delayed/Rescheduled
American Samoa (AS);Yes;February 27;No;;;;;;;Yes;Yes‐ 5 or more;Yes;;;;;;;;Already held
Arizona (AZ);Yes;March 11;Yes;April 1;;;;;Yes;;Recommended;Yes;;;;;;Requested;"Yes‐ filing and
payment";Already held
Arkansas (AR);Yes;March 11;No;;;;;;Yes;Yes;;Yes;;;;April 4;Local;;;Already held
California (CA);Yes;March 4;Yes;March 19;;;;Request Approved;Yes;;Yes‐ stay at hom;Yes;;;"Closure recommended ‐ bars, wineries, nightclubs and
brewpubs";March 20;Local;Requested;Yes‐ filing and payment;Already held
CNMI (MP);Yes;;;;;;;;;;;Yes;;;;;;;;Already held
Colorado (CO);Yes;March 10;Yes;March 26;Yes;March 18;San Migual County;;Yes;;Yes‐ 10 or more;Yes;;;"Closure required ‐ bars, restaurants, gyms, theaters,
casinos, ski resorts";March 17;;;Yes‐ filing and payment;Already held
Connecticut (CT);Yes;March 10;Yes;March 24;;;;;Yes;Yes;Yes‐ stay at hom;Yes;;;"Closure required ‐ gyms, fitness
studios, movie theaters Limited operations required ‐ restaurants";March 16;;;Yes‐ filing and payment;Delayed/Rescheduled
Delaware (DE);Yes;March 12;01/03/22;March 24;;;;;Yes;Yes;Yes‐ stay at hom;Yes;;;"Closure required ‐ bowling alleys,
movie theaters, fitness centers, health spas
Limited operations required ‐ restaurants, brewpubs, taverns,
taprooms";March 18;;;;On Schedule
