date,ssr,ssr_se,cty
02/01/1995,6.43,0.09,US
03/01/1995,6.44,0.07,US
04/01/1995,6.45,0.06,US
05/01/1995,6.48,0.06,US
06/01/1995,6.5,0.06,US
09/01/1995,6.53,0.06,US
10/01/1995,6.52,0.06,US
11/01/1995,6.47,0.06,US
12/01/1995,6.43,0.05,US
13/01/1995,6.33,0.05,US
16/01/1995,6.27,0.05,US
17/01/1995,6.27,0.05,US
18/01/1995,6.3,0.05,US
19/01/1995,6.32,0.05,US
20/01/1995,6.36,0.05,US
23/01/1995,6.37,0.05,US
24/01/1995,6.4,0.05,US
25/01/1995,6.38,0.05,US
26/01/1995,6.35,0.05,US
27/01/1995,6.28,0.05,US
30/01/1995,6.23,0.05,US
31/01/1995,6.22,0.05,US
01/02/1995,6.27,0.05,US
02/02/1995,6.29,0.05,US
03/02/1995,6.23,0.05,US
06/02/1995,6.22,0.05,US
07/02/1995,6.21,0.05,US
08/02/1995,6.18,0.05,US
09/02/1995,6.2,0.05,US
10/02/1995,6.24,0.05,US
13/02/1995,6.25,0.05,US
14/02/1995,6.22,0.05,US
15/02/1995,6.17,0.05,US
16/02/1995,6.11,0.05,US
17/02/1995,6.09,0.05,US
20/02/1995,6.08,0.05,US
21/02/1995,6.09,0.05,US
22/02/1995,6.02,0.05,US
23/02/1995,5.98,0.05,US
24/02/1995,5.96,0.05,US
27/02/1995,5.91,0.05,US
28/02/1995,5.9,0.05,US
01/03/1995,5.9,0.05,US
02/03/1995,5.92,0.05,US
03/03/1995,5.95,0.05,US
06/03/1995,6,0.05,US
07/03/1995,6.04,0.05,US
08/03/1995,6.02,0.05,US
09/03/1995,5.98,0.05,US
10/03/1995,5.96,0.05,US
13/03/1995,5.93,0.05,US
14/03/1995,5.9,0.05,US
15/03/1995,5.88,0.05,US
16/03/1995,5.87,0.05,US
17/03/1995,5.86,0.05,US
20/03/1995,5.86,0.05,US
21/03/1995,5.88,0.05,US
22/03/1995,5.88,0.05,US
23/03/1995,5.87,0.05,US
24/03/1995,5.83,0.05,US
27/03/1995,5.79,0.05,US
28/03/1995,5.82,0.05,US
29/03/1995,5.82,0.05,US
30/03/1995,5.84,0.05,US
31/03/1995,5.88,0.05,US
03/04/1995,5.88,0.05,US
04/04/1995,5.88,0.05,US
05/04/1995,5.86,0.05,US
06/04/1995,5.84,0.05,US
07/04/1995,5.83,0.05,US
10/04/1995,5.82,0.05,US
11/04/1995,5.8,0.05,US
12/04/1995,5.78,0.05,US
13/04/1995,5.83,0.05,US
14/04/1995,5.86,0.05,US
17/04/1995,5.87,0.05,US
18/04/1995,5.87,0.05,US
19/04/1995,5.89,0.05,US
20/04/1995,5.9,0.05,US
21/04/1995,5.91,0.05,US
24/04/1995,5.93,0.05,US
25/04/1995,5.96,0.05,US
26/04/1995,5.98,0.05,US
27/04/1995,6.02,0.05,US
28/04/1995,6.07,0.05,US
01/05/1995,6.09,0.05,US
02/05/1995,6.08,0.05,US
03/05/1995,6.02,0.05,US
04/05/1995,5.98,0.05,US
05/05/1995,5.89,0.05,US
08/05/1995,5.85,0.05,US
09/05/1995,5.79,0.05,US
10/05/1995,5.79,0.05,US
11/05/1995,5.8,0.05,US
12/05/1995,5.82,0.05,US
15/05/1995,5.82,0.05,US
16/05/1995,5.8,0.05,US
17/05/1995,5.8,0.05,US
18/05/1995,5.81,0.05,US
19/05/1995,5.83,0.05,US
22/05/1995,5.86,0.05,US
23/05/1995,5.85,0.05,US
24/05/1995,5.79,0.05,US
25/05/1995,5.77,0.05,US
26/05/1995,5.74,0.05,US
29/05/1995,5.73,0.05,US
30/05/1995,5.69,0.05,US
31/05/1995,5.67,0.05,US
01/06/1995,5.59,0.05,US
02/06/1995,5.49,0.05,US
05/06/1995,5.46,0.05,US
06/06/1995,5.42,0.05,US
07/06/1995,5.5,0.05,US
08/06/1995,5.55,0.05,US
09/06/1995,5.65,0.05,US
12/06/1995,5.68,0.05,US
13/06/1995,5.6,0.05,US
14/06/1995,5.56,0.05,US
15/06/1995,5.55,0.05,US
16/06/1995,5.56,0.05,US
19/06/1995,5.53,0.05,US
20/06/1995,5.53,0.05,US
21/06/1995,5.5,0.05,US
22/06/1995,5.46,0.05,US
23/06/1995,5.44,0.05,US
26/06/1995,5.47,0.05,US
27/06/1995,5.49,0.05,US
28/06/1995,5.48,0.05,US
29/06/1995,5.58,0.05,US
30/06/1995,5.56,0.05,US
03/07/1995,5.57,0.05,US
04/07/1995,5.6,0.05,US
05/07/1995,5.59,0.05,US
06/07/1995,5.47,0.05,US
07/07/1995,5.43,0.05,US
10/07/1995,5.39,0.05,US
11/07/1995,5.4,0.05,US
12/07/1995,5.38,0.05,US
13/07/1995,5.39,0.05,US
14/07/1995,5.43,0.05,US
17/07/1995,5.45,0.05,US
18/07/1995,5.49,0.05,US
19/07/1995,5.53,0.05,US
20/07/1995,5.56,0.05,US
21/07/1995,5.61,0.05,US
24/07/1995,5.61,0.05,US
25/07/1995,5.62,0.05,US
26/07/1995,5.63,0.05,US
27/07/1995,5.59,0.05,US
28/07/1995,5.59,0.05,US
31/07/1995,5.56,0.05,US
01/08/1995,5.57,0.05,US
02/08/1995,5.55,0.05,US
03/08/1995,5.57,0.05,US
04/08/1995,5.57,0.05,US
07/08/1995,5.56,0.05,US
08/08/1995,5.54,0.05,US
09/08/1995,5.54,0.05,US
10/08/1995,5.54,0.05,US
11/08/1995,5.59,0.05,US
14/08/1995,5.6,0.05,US
15/08/1995,5.62,0.05,US
16/08/1995,5.62,0.05,US
17/08/1995,5.64,0.05,US
18/08/1995,5.65,0.05,US
21/08/1995,5.63,0.05,US
22/08/1995,5.64,0.05,US
23/08/1995,5.65,0.05,US
24/08/1995,5.6,0.05,US
25/08/1995,5.53,0.05,US
28/08/1995,5.5,0.05,US
29/08/1995,5.5,0.05,US
30/08/1995,5.48,0.05,US
31/08/1995,5.46,0.05,US
01/09/1995,5.44,0.05,US
04/09/1995,5.43,0.05,US
05/09/1995,5.42,0.05,US
06/09/1995,5.42,0.05,US
07/09/1995,5.45,0.05,US
08/09/1995,5.47,0.05,US
11/09/1995,5.48,0.05,US
12/09/1995,5.47,0.05,US
13/09/1995,5.48,0.05,US
14/09/1995,5.46,0.05,US
15/09/1995,5.45,0.05,US
18/09/1995,5.45,0.05,US
19/09/1995,5.43,0.05,US
20/09/1995,5.41,0.05,US
21/09/1995,5.44,0.05,US
22/09/1995,5.46,0.05,US
25/09/1995,5.48,0.05,US
26/09/1995,5.53,0.05,US
27/09/1995,5.54,0.05,US
28/09/1995,5.57,0.05,US
29/09/1995,5.56,0.05,US
02/10/1995,5.54,0.05,US
03/10/1995,5.54,0.05,US
04/10/1995,5.52,0.05,US
05/10/1995,5.51,0.05,US
06/10/1995,5.5,0.05,US
09/10/1995,5.5,0.05,US
10/10/1995,5.5,0.05,US
11/10/1995,5.49,0.05,US
